TrialNumber	StartTime	EndTime	CoherenceAngle	StaircaseNumber	CombinedResponse	CorrectVertical	CorrectHorizontal		GazeError		HeadError		StimulusDirection
62	292549	293589.7	200	1	True	True	True		"(0.0, 0.0, 0.0)"		1.534793	0	NE
63	296567.8	297414.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9479734	0	NW
64	300584.9	301658.3	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7692693	0	SE
65	304599.1	305361.6	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.7641273	0	SW
66	308619.5	309412.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.631756	0	SW
67	312650.6	313354.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		3.256789	0	NE
68	316662.9	317492.3	240	1	False	True	False		"(0.0, 0.0, 0.0)"		0.4814785	0	NE
69	320698.5	321674.3	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5608265	0	SE
70	324712.4	325517.8	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.6723809	0	SE
71	329389	330483.5	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.6990868	0	NE
72	333407	334275.2	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9183196	0	SW
73	337424.1	338303.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3749853	0	SE
74	84390.5	85335.32	0	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9890259	0	NW
75	88447.04	89313.78	0	1	True	True	True		"(0.0, 0.0, 0.0)"		1.807172	0	SE
76	92472.7	93274.29	40	1	True	True	True		"(0.0, 0.0, 0.0)"		0.544143	0	SE
77	96485.53	97192.16	40	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2786227	0	NE
78	100510.3	101183.2	80	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2730083	0	SW
79	104527.1	105251.9	80	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4328277	0	NW
80	108551.3	109167	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9627818	0	NE
81	112575.7	115514.9	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.8888533	0	SW
82	120631.1	121394.2	160	1	True	True	True		"(0.0, 0.0, 0.0)"		1.057036	0	NW
83	124642.9	125469.3	160	1	True	True	True		"(0.0, 0.0, 0.0)"		3.278017	0	NW
84	128671.9	129731.9	200	1	False	True	False		"(0.0, 0.0, 0.0)"		0.4327854	0	NW
85	132688.3	133889.9	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5327271	0	SE
86	136705.9	138165.2	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1864336	0	NW
87	140725.8	141707.6	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3101589	0	NW
88	144744.1	145689.1	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6273684	0	SE
89	148761.5	149621.9	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.5801619	0	SW
90	152782.6	153984.5	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4237178	0	NW
91	156804.1	157724.8	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.649893	0	NW
92	160826.8	162100.1	280	1	False	False	True		"(0.0, 0.0, 0.0)"		1.440695	0	NE
93	164845.1	166451.5	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.1036141	0	SW
94	168870.5	169929.3	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.1630426	0	NE
95	172895	174192.5	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.251513	0	SE
96	176923.1	177613.5	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6202522	0	NW
97	180939.8	181911.4	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6614799	0	SW
98	184959	185847.4	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3805654	0	SE
99	188979.2	189995.2	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3223281	0	SW
100	192988.1	193742	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5018702	0	SW
101	197005	197992.9	200	1	True	True	True		"(0.0, 0.0, 0.0)"		3.447785	0	NW
102	201021.3	201983.6	240	1	False	True	False		"(0.0, 0.0, 0.0)"		0.4308338	0	SW
103	205036.2	206683.9	240	1	True	True	True		"(0.0, 0.0, 0.0)"		2.262257	0	SW
104	209066.8	210221.4	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.8601901	0	SE
105	213086.4	214047.4	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.04637723	0	SE
106	217109.9	218041.8	320	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3004554	0	NW
107	221138.5	222195	320	1	False	False	True		"(0.0, 0.0, 0.0)"		3.458664	0	SW
108	225162.4	226412.9	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4348292	0	SW
109	229182.2	230103.1	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6009367	0	SW
110	233201.8	235235.3	320	1	False	False	True		"(0.0, 0.0, 0.0)"		0.2379314	0	NW
111	237560.1	238649.5	280	1	True	True	True		"(0.0, 0.0, 0.0)"		2.459048	0	NW
112	241571.2	242761.1	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.4743843	0	NE
113	245816.1	246678.1	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2709102	0	NW
114	249842.8	251789.8	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3870575	0	SE
115	253871.4	254816.5	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.4117247	0	SW
116	257893.6	259684.5	160	1	False	False	True		"(0.0, 0.0, 0.0)"		0.5596716	0	SW
117	261918.3	262645.5	120	1	True	True	True		"(0.0, 0.0, 0.0)"		2.628516	0	NE
118	265934.4	266804.7	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1253647	0	NW
119	269952	270865.2	160	1	True	True	True		"(0.0, 0.0, 0.0)"		3.385358	0	SW
120	273978.6	274732.2	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3541542	0	NW
121	277996.1	278975	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4352535	0	NW
122	282742.2	283713.9	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2991284	0	SE
123	286764.9	287855.1	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7265913	0	SE
124	290782.4	292376.8	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6907337	0	SW
125	294808.3	295683.8	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.9494807	0	NE
126	298818.8	300127	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.5986953	0	SE
127	302829.8	303965.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2508481	0	SW
128	306848	307688.2	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.7152979	0	SW
129	310876.1	311602.8	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.480152	0	NW
130	314901.8	315758.9	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6480274	0	SE
131	318919.9	319556.4	200	1	False	True	False		"(0.0, 0.0, 0.0)"		0.3891097	0	SE
132	322945.7	323647.1	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2102799	0	NE
133	326974.4	327741	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.4520314	0	NW
134	330999.6	331844.1	200	1	True	True	True		"(0.0, 0.0, 0.0)"		1.293498	0	SE
135	335033.1	336415.4	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3441188	0	NE
136	339057.4	339949.6	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.9869225	0	NW
137	343078.4	343958.3	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9328775	0	NE
138	347101.1	347853.5	200	1	True	True	True		"(0.0, 0.0, 0.0)"		1.353568	0	SW
139	351118.9	352351.8	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3162864	0	NW
140	355599	356616.8	200	1	True	True	True		"(0.0, 0.0, 0.0)"		2.531944	0	SE
141	359615.9	360341.9	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7123989	0	SW
142	363623.8	364425.1	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.2326297	0	NE
143	367648.9	368274.9	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5082504	0	SW
